,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,81,61317.583984375,66736.03,100776.73,210326.03,1.0,-0.1,0.3,5.907153,9.155001,10.826107,3.2020838,3.70243,4.543425
0,82,68563.91796875,66633.87,100754.555,210554.47,1.0,-0.1,0.3,6.020523,9.326166,11.021341,3.2491708,3.7602227,4.604833
0,83,70390.123046875,66209.54,100491.2,210224.0,1.0166666666666666,-0.1,0.3,5.8629403,9.091259,10.739781,3.223347,3.7206655,4.5667233
0,84,63557.669921875,65732.35,100218.92,209719.08,1.0166666666666666,-0.1,0.3,5.4952364,8.541487,10.087389,3.1418016,3.6081798,4.451348
0,85,63570.568359375,65545.49,100196.734,209589.47,1.0333333333333334,-0.1,0.3,5.090064,7.938119,9.367098,3.0501482,3.4840958,4.3189116
0,86,69988.849609375,65529.324,100316.195,209755.45,1.0166666666666666,-0.1,0.3,4.816744,7.5304155,8.87781,2.9941843,3.4093757,4.234768
0,87,73900.15234375,65241.633,100125.84,209698.05,1.0333333333333334,-0.05,0.3,4.8667164,7.605119,8.961364,3.0245855,3.4456253,4.273825
0,88,66440.64453125,64806.36,99695.25,209565.06,1.05,-0.05,0.3,5.1488504,8.028784,9.451629,3.1129339,3.5546303,4.3930383
0,89,68741.330078125,64547.426,99421.01,209692.97,1.0666666666666667,-0.05,0.3,5.4992614,8.554701,10.0621805,3.2197638,3.6880593,4.5376563
0,90,71736.49609375,64510.215,99428.89,210078.22,1.0666666666666667,-0.05,0.3,5.8197856,9.033617,10.624022,3.3237097,3.820179,4.6802506
0,91,61114.177734375,64459.81,99460.98,210377.6,1.0666666666666667,-0.05,0.3,5.9856186,9.283444,10.915631,3.3882337,3.9000542,4.7677083
0,92,62133.037109375,64292.168,99402.54,210483.7,1.0666666666666667,-0.05,0.3,6.036931,9.361781,11.004063,3.4210577,3.9384265,4.810396
0,93,65992.166015625,63772.84,99039.766,210018.47,1.0833333333333333,0.0,0.3,5.7939534,9.002886,10.572432,3.3734279,3.8700511,4.7386236
0,94,66215.37890625,63340.465,98773.28,209625.84,1.1,0.0,0.3,5.4493876,8.493387,9.961533,3.2997603,3.7694926,4.6290855
